id,department,role_family,capability_level,max_risk
"executive-and-strategy-strategy-planning-utility-worker","Executive & Strategy","strategy-planning","L0","R1"
"executive-and-strategy-strategy-planning-specialist","Executive & Strategy","strategy-planning","L1","R1"
"executive-and-strategy-strategy-planning-senior-specialist","Executive & Strategy","strategy-planning","L2","R2"
"executive-and-strategy-strategy-planning-team-lead","Executive & Strategy","strategy-planning","L3","R2"
"executive-and-strategy-strategy-planning-department-lead","Executive & Strategy","strategy-planning","L4","R3"
"executive-and-strategy-strategy-planning-executive-coordinator","Executive & Strategy","strategy-planning","L5","R3"
"executive-and-strategy-analysis-research-utility-worker","Executive & Strategy","analysis-research","L0","R1"
"executive-and-strategy-analysis-research-specialist","Executive & Strategy","analysis-research","L1","R1"
"executive-and-strategy-analysis-research-senior-specialist","Executive & Strategy","analysis-research","L2","R2"
"executive-and-strategy-analysis-research-team-lead","Executive & Strategy","analysis-research","L3","R2"
"executive-and-strategy-analysis-research-department-lead","Executive & Strategy","analysis-research","L4","R3"
"executive-and-strategy-analysis-research-executive-coordinator","Executive & Strategy","analysis-research","L5","R3"
"executive-and-strategy-implementation-delivery-utility-worker","Executive & Strategy","implementation-delivery","L0","R1"
"executive-and-strategy-implementation-delivery-specialist","Executive & Strategy","implementation-delivery","L1","R1"
"executive-and-strategy-implementation-delivery-senior-specialist","Executive & Strategy","implementation-delivery","L2","R2"
"executive-and-strategy-implementation-delivery-team-lead","Executive & Strategy","implementation-delivery","L3","R2"
"executive-and-strategy-implementation-delivery-department-lead","Executive & Strategy","implementation-delivery","L4","R3"
"executive-and-strategy-implementation-delivery-executive-coordinator","Executive & Strategy","implementation-delivery","L5","R3"
"executive-and-strategy-operations-reliability-utility-worker","Executive & Strategy","operations-reliability","L0","R1"
"executive-and-strategy-operations-reliability-specialist","Executive & Strategy","operations-reliability","L1","R1"
"executive-and-strategy-operations-reliability-senior-specialist","Executive & Strategy","operations-reliability","L2","R2"
"executive-and-strategy-operations-reliability-team-lead","Executive & Strategy","operations-reliability","L3","R2"
"executive-and-strategy-operations-reliability-department-lead","Executive & Strategy","operations-reliability","L4","R3"
"executive-and-strategy-operations-reliability-executive-coordinator","Executive & Strategy","operations-reliability","L5","R3"
"executive-and-strategy-verification-governance-utility-worker","Executive & Strategy","verification-governance","L0","R1"
"executive-and-strategy-verification-governance-specialist","Executive & Strategy","verification-governance","L1","R1"
"executive-and-strategy-verification-governance-senior-specialist","Executive & Strategy","verification-governance","L2","R2"
"executive-and-strategy-verification-governance-team-lead","Executive & Strategy","verification-governance","L3","R2"
"executive-and-strategy-verification-governance-department-lead","Executive & Strategy","verification-governance","L4","R3"
"executive-and-strategy-verification-governance-executive-coordinator","Executive & Strategy","verification-governance","L5","R3"
"executive-and-strategy-knowledge-coordination-utility-worker","Executive & Strategy","knowledge-coordination","L0","R1"
"executive-and-strategy-knowledge-coordination-specialist","Executive & Strategy","knowledge-coordination","L1","R1"
"executive-and-strategy-knowledge-coordination-senior-specialist","Executive & Strategy","knowledge-coordination","L2","R2"
"executive-and-strategy-knowledge-coordination-team-lead","Executive & Strategy","knowledge-coordination","L3","R2"
"executive-and-strategy-knowledge-coordination-department-lead","Executive & Strategy","knowledge-coordination","L4","R3"
"executive-and-strategy-knowledge-coordination-executive-coordinator","Executive & Strategy","knowledge-coordination","L5","R3"
"product-strategy-planning-utility-worker","Product","strategy-planning","L0","R1"
"product-strategy-planning-specialist","Product","strategy-planning","L1","R1"
"product-strategy-planning-senior-specialist","Product","strategy-planning","L2","R2"
"product-strategy-planning-team-lead","Product","strategy-planning","L3","R2"
"product-strategy-planning-department-lead","Product","strategy-planning","L4","R3"
"product-strategy-planning-executive-coordinator","Product","strategy-planning","L5","R3"
"product-analysis-research-utility-worker","Product","analysis-research","L0","R1"
"product-analysis-research-specialist","Product","analysis-research","L1","R1"
"product-analysis-research-senior-specialist","Product","analysis-research","L2","R2"
"product-analysis-research-team-lead","Product","analysis-research","L3","R2"
"product-analysis-research-department-lead","Product","analysis-research","L4","R3"
"product-analysis-research-executive-coordinator","Product","analysis-research","L5","R3"
"product-implementation-delivery-utility-worker","Product","implementation-delivery","L0","R1"
"product-implementation-delivery-specialist","Product","implementation-delivery","L1","R1"
"product-implementation-delivery-senior-specialist","Product","implementation-delivery","L2","R2"
"product-implementation-delivery-team-lead","Product","implementation-delivery","L3","R2"
"product-implementation-delivery-department-lead","Product","implementation-delivery","L4","R3"
"product-implementation-delivery-executive-coordinator","Product","implementation-delivery","L5","R3"
"product-operations-reliability-utility-worker","Product","operations-reliability","L0","R1"
"product-operations-reliability-specialist","Product","operations-reliability","L1","R1"
"product-operations-reliability-senior-specialist","Product","operations-reliability","L2","R2"
"product-operations-reliability-team-lead","Product","operations-reliability","L3","R2"
"product-operations-reliability-department-lead","Product","operations-reliability","L4","R3"
"product-operations-reliability-executive-coordinator","Product","operations-reliability","L5","R3"
"product-verification-governance-utility-worker","Product","verification-governance","L0","R1"
"product-verification-governance-specialist","Product","verification-governance","L1","R1"
"product-verification-governance-senior-specialist","Product","verification-governance","L2","R2"
"product-verification-governance-team-lead","Product","verification-governance","L3","R2"
"product-verification-governance-department-lead","Product","verification-governance","L4","R3"
"product-verification-governance-executive-coordinator","Product","verification-governance","L5","R3"
"product-knowledge-coordination-utility-worker","Product","knowledge-coordination","L0","R1"
"product-knowledge-coordination-specialist","Product","knowledge-coordination","L1","R1"
"product-knowledge-coordination-senior-specialist","Product","knowledge-coordination","L2","R2"
"product-knowledge-coordination-team-lead","Product","knowledge-coordination","L3","R2"
"product-knowledge-coordination-department-lead","Product","knowledge-coordination","L4","R3"
"product-knowledge-coordination-executive-coordinator","Product","knowledge-coordination","L5","R3"
"research-and-innovation-strategy-planning-utility-worker","Research & Innovation","strategy-planning","L0","R1"
"research-and-innovation-strategy-planning-specialist","Research & Innovation","strategy-planning","L1","R1"
"research-and-innovation-strategy-planning-senior-specialist","Research & Innovation","strategy-planning","L2","R2"
